Data;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;100;100;100;100
set/03;121,341;118,497;118,225;123,436;;1,000160691;0,998072883;1,000366158;1,000241867;;set/03;0,0519;-0,1230;0,1132;0,0429;;mar/13;0,034558142;0,946413825;0,045937164;-0,026706599;;165,7162152;246,9618753;166,7797536;151,7468421
out/03;122,953;100,44;123,098;124,583;;1,000132849;0,998476164;1,00041218;1,000092923;;out/03;0,0247;-0,4880;0,0873;0,0393;;jun/13;-0,017467902;-0,41341222;0,033535035;0,004415448;;162,8215005;144,864818;172,3727184;152,4168723
nov/03;120,154;102,414;114,882;124,393;;0,999772352;1,000196535;0,999332564;0,999984749;;nov/03;0,0066;-0,3252;0,0111;0,0320;;set/13;0,02248435;-0,111930038;0,045532093;0,02083988;;166,4824362;128,6500935;180,221209;155,5932216
dez/03;116,727;107,203;105,778;122,989;;0,999714783;1,000467612;0,999207535;0,999887132;;dez/03;-0,0380;-0,0861;-0,1048;-0,0035;;dez/13;-0,021563593;-0,035273514;-0,109549177;0,019790009;;162,8924766;124,1121527;160,4781239;158,6724129
jan/04;114,053;108,67;104,075;118,864;;0,999770918;1,000136843;0,999839002;0,999664604;;jan/04;-0,0742;0,0801;-0,1620;-0,0463;;mar/14;0,038820941;0,947395704;0,065449043;-0,034346861;;169,2161158;241,6954729;170,9812635;153,2225135
fev/04;114,013;162,267;98,889;117,288;;0,999996493;1,004932088;0,999501706;0,999867411;;fev/04;-0,0518;0,5540;-0,1451;-0,0581;;jun/14;-0,054926273;-0,457348384;-0,048610885;-0,007801257;;159,9217052;131,1564389;162,669713;152,0271853
mar/04;125,878;224,166;113,212;122,197;;1,001040671;1,003814639;1,001448392;1,000418542;;mar/04;0,0808;0,8904;0,0788;-0,0050;;set/14;0,045879972;-0,069296297;0,088856323;0,031937635;;167,2589086;122,0677834;177,1239454;156,8825741
abr/04;123,156;204,433;110,728;121,82;;0,999783759;0,999119715;0,999780589;0,999969148;;abr/04;0,0821;0,7878;0,0730;0,0255;;dez/14;-0,020430369;0,001162473;-0,104052572;0,016975775;;163,8417473;122,2096839;158,6937434;159,5457774
mai/04;123,432;147,236;116,147;124,637;;1,000022411;0,997202164;1,000489397;1,000231243;;mai/04;0,0847;0,0125;0,1719;0,0619;;mar/15;0,042719329;0,984829087;0,060278647;-0,027393558;;170,8409568;242,5653353;168,2595874;155,1752508
jun/04;124,364;150,983;117,891;125,372;;1,000075507;1,000254489;1,000150155;1,000058971;;jun/04;-0,0118;-0,3422;0,0420;0,0259;;jun/15;-0,075523071;-0,495483013;-0,054048053;-0,031011355;;157,9385232;122,3783322;159,1654843;150,363056
jul/04;128,437;186,868;122,417;126,294;;1,000327506;1,002376758;1,000383914;1,000073541;;jul/04;0,0425;-0,0173;0,1024;0,0364;;set/15;0,006033093;-0,109013223;0,033696598;0,006030689;;158,891381;109,0374758;164,5288196;151,2698488
ago/04;128,292;150,288;126,379;127,501;;0,99998871;0,998042468;1,000323648;1,000095571;;ago/04;0,0392;0,0669;0,0858;0,0228;;dez/15;-0,022274092;-0,019300588;-0,115477108;0,017637003;;155,3522198;106,9329883;145,5295074;153,9377957
set/04;127,679;119,434;126,952;128,97;;0,999952218;0,997947008;1,00004534;1,000115215;;set/04;0,0268;-0,1639;0,0753;0,0284;;mar/16;0,038353905;0,92703344;0,066186351;-0,025665002;;161,3105841;206,0634444;155,1615744;149,9869818
out/04;127,92;96,953;129,406;130,042;;1,000018875;0,998117705;1,000193301;1,00008312;;out/04;-0,0040;-0,5881;0,0562;0,0294;;jun/16;-0,032665554;-0,463774889;0,009622026;-0,005349379;;156,0412845;110,4963934;156,6545431;149,1846446
